instance,instance_internal,category,algorithm,preset,seed,wall_clock_s,evaluations,gd,igd,spread,hv
A-n32-k5,small_01,small,NSGA2,fast,1000,9.966808080673218,16187,166.8591283065747,201.64927995093734,1.1029810335877654,53614.865697636946
A-n32-k5,small_01,small,NSGA2,fast,1001,9.321958065032959,16090,190.85020824188038,195.61746923815005,1.0421184244679205,52048.28629167046
A-n32-k5,small_01,small,VEGA,fast,1000,9.580620050430298,16706,31.451148549400532,38.83970872824278,0.8048650758508952,17461.211659031942
A-n32-k5,small_01,small,VEGA,fast,1001,9.618109941482544,16756,0.0,9.325051434737343,0.514561126275469,7358.503248179032
A-n32-k5,small_01,small,NSGA2,balanced,1000,9.436673164367676,16118,80.08322775849456,93.29817762143179,1.21894805368077,35623.171097537976
A-n32-k5,small_01,small,NSGA2,balanced,1001,9.377401113510132,16082,181.61649519463344,92.17042872587123,1.1248478895833522,12678.165850510839
A-n32-k5,small_01,small,VEGA,balanced,1000,9.565614223480225,16551,12.169389990781273,45.7564270424356,0.7016575554018047,21955.29847417984
A-n32-k5,small_01,small,VEGA,balanced,1001,9.64121389389038,16593,22.17503208274549,55.59003077129832,0.7262997307889395,25883.316301735365
A-n36-k5,small_02,small,NSGA2,fast,1000,10.636445045471191,16172,185.65557544686348,182.38947359510357,1.07600358640159,27645.014287071775
A-n36-k5,small_02,small,NSGA2,fast,1001,10.7605881690979,16155,111.30685232185382,174.19518654696603,1.1782569367212787,26884.416154176575
A-n36-k5,small_02,small,VEGA,fast,1000,10.929316997528076,16755,44.850835279050195,55.29693347122343,0.5140686828812298,10282.60951410499
A-n36-k5,small_02,small,VEGA,fast,1001,11.150833129882812,16714,55.19143482578262,58.25404271142554,1.0302780356155379,10643.101897388657
A-n36-k5,small_02,small,NSGA2,balanced,1000,11.035108089447021,16306,99.07844711497717,73.63725393319844,1.2409759887271972,17242.60563359382
A-n36-k5,small_02,small,NSGA2,balanced,1001,10.846572160720825,16271,59.22681385953128,91.37537167623105,1.2651528793395443,19440.77142839238
A-n36-k5,small_02,small,VEGA,balanced,1000,10.717431783676147,16654,0.0,0.0,0.3191288662241092,4160.272873940878
A-n36-k5,small_02,small,VEGA,balanced,1001,10.833588123321533,16724,26.72960118303539,32.62311205027145,0.42281320357742996,7721.493281461612
B-n45-k6,medium_02,medium,NSGA2,fast,1000,12.190827131271362,12546,1414212728.954898,1414212718.757412,1.0000000373806464,1.1024987472942716e+18
B-n45-k6,medium_02,medium,NSGA2,fast,1001,12.354851007461548,12726,1414212626.7910285,1414212582.1629758,1.0000000600427024,1.1024985444617388e+18
B-n45-k6,medium_02,medium,VEGA,fast,1000,13.054744720458984,12093,0.0,0.0,0.0,2500000000000000.0
B-n45-k6,medium_02,medium,VEGA,fast,1001,13.043024063110352,12089,0.0,0.0,0.0,2500000000000000.0
B-n45-k6,medium_02,medium,NSGA2,balanced,1000,12.479195833206177,12817,1414212765.0143685,1414212748.9198012,1.0000000101517768,1.1024987920831661e+18
B-n45-k6,medium_02,medium,NSGA2,balanced,1001,12.160207986831665,12652,1414212711.8162103,1414212531.8281646,1.0000000439315242,1.1024984697183174e+18
B-n45-k6,medium_02,medium,VEGA,balanced,1000,13.003058910369873,12097,0.0,0.0,0.0,2500000000000000.0
B-n45-k6,medium_02,medium,VEGA,balanced,1001,13.040146827697754,12097,1414212191.2280822,1414212191.2280822,0.0,1.1024979639528732e+18
B-n57-k7,medium_01,medium,NSGA2,fast,1000,17.74654793739319,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,NSGA2,fast,1001,17.794042110443115,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,VEGA,fast,1000,17.63162589073181,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,VEGA,fast,1001,17.67604112625122,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,NSGA2,balanced,1000,17.616235971450806,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,NSGA2,balanced,1001,17.698845148086548,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,VEGA,balanced,1000,17.579397916793823,12080,0.0,0.0,0.0,2500000000000000.0
B-n57-k7,medium_01,medium,VEGA,balanced,1001,17.659905672073364,12080,0.0,0.0,0.0,2500000000000000.0
